,Placename,Enitity,File,__mappify_error,Latitude,Longitude,State,mean_median_dist,median_median_dist,n_results,winnerPct,searchType
0,Edeepest,LOCATION,18860126-195-65604709 (1 of 2).txt,No match found.,,,None,,,0,,None
1,Argent Valley,LOCATION,18961212-1251-232578923 (1 of 1).txt,No match found.,,,None,,,0,,None
2,West Oolcbrook,LOCATION,18961212-1251-232578923 (1 of 1).txt,No match found.,,,None,,,0,,None
3,North Colebrook,LOCATION,18961212-1251-232578923 (1 of 1).txt,No match found.,,,None,,,0,,None
4,Colebrook,LOCATION,18961212-1251-232578923 (1 of 1).txt,No match found.,147.48524825,-34.0759725,NSW,2.6461269954894084,2.6461269954894084,3,66.66666666666666,exact
5,New York,LOCATION,18801230-10-8991754 (1 of 1).txt,No match found.,,,None,,,0,,None
6,San Francisco,LOCATION,18801230-10-8991754 (1 of 1).txt,No match found.,,,None,,,0,,None
7,Sydney,LOCATION,18801230-10-8991754 (1 of 1).txt,No match found.,151.20944444444444,-33.865,NSW,0.0026851851851835327,0.0,5,60.0,exact
8,Olive,LOCATION,18840314-436-254369866 (1 of 1).txt,No match found.,141.87055555555557,-29.087777777777777,NSW,3.454582408634788,0.05333333333334167,4,75.0,exact
9,Yackandandah,LOCATION,18840314-436-254369866 (1 of 1).txt,No match found.,146.839861111111,-36.31263733,VIC,0.02059932623230638,0.0026401709189973516,5,60.0,exact
10,Jindera,LOCATION,18840314-436-254369866 (1 of 1).txt,No match found.,146.88444444444443,-35.965,NSW,0.02222222222222096,0.03333333333333144,3,100.0,exact
11,Victoria,LOCATION,18660113-697-166663015 (2 of 12).txt,No match found.,148.13444444444443,-33.930277777777775,NSW,4.494904880681709,3.9293591131536396,11,63.63636363636363,exact
12,South Australia,LOCATION,18660113-697-166663015 (2 of 12).txt,No match found.,137.305178,-32.4907365,SA,3.424218638749024,3.424218638749024,2,100.0,exact
13,New South Wales,LOCATION,18660113-697-166663015 (2 of 12).txt,No match found.,147.01777777777778,-32.16166666666666,NSW,0.0,0.0,1,100.0,exact
14,Sydney,LOCATION,18910711-906-194111451 (1 of 1).txt,No match found.,151.20944444444444,-33.865,NSW,0.0026851851851835327,0.0,5,60.0,exact
15,Williamstown,LOCATION,18630202-13-6483150 (1 of 1).txt,No match found.,141.8903038888885,-36.35775166666665,Ambiguous,3.7069560909728128,3.4069479297566487,9,,exact
16,North Melbourne,LOCATION,18630202-13-6483150 (1 of 1).txt,No match found.,144.946527777777,-37.80291748,VIC,0.006746413465021048,0.006298901885612037,5,100.0,exact
17,Darlinghurst Gaol,LOCATION,18950225-30-4550862 (2 of 2).txt,No match found.,151.218,-33.8793,No best estimate,0.0,0.0,1,100.0,exact
18,Riverina,LOCATION,18950225-30-4550862 (2 of 2).txt,No match found.,115.8173,-33.25685,WA,2.0984653168303855,0.3933544621585014,4,75.0,exact
19,Sydney,LOCATION,18751103-558-150640085 (1 of 1).txt,No match found.,151.20944444444444,-33.865,NSW,0.0026851851851835327,0.0,5,60.0,exact
20,Gonlbum,LOCATION,18751103-558-150640085 (1 of 1).txt,No match found.,,,None,,,0,,None
21,China,LOCATION,18751103-558-150640085 (1 of 1).txt,No match found.,,,None,,,0,,None
22,Galle,LOCATION,18751103-558-150640085 (1 of 1).txt,No match found.,,,None,,,0,,None
23,Australia,LOCATION,18751103-558-150640085 (1 of 1).txt,No match found.,137.13828,-28.61389,Ambiguous,0.0,0.0,2,,exact
24,Australia,LOCATION,18751103-558-150640085 (1 of 1).txt,No match found.,137.13828,-28.61389,Ambiguous,0.0,0.0,2,,exact
25,BLAYNEY,LOCATION,18960114-35-14033182 (3 of 14).txt,No match found.,149.2511111111111,-33.531666666666666,NSW,0.0,0.0,2,100.0,exact
26,tho Club,LOCATION,18750710-52-70583765 (1 of 2).txt,No match found.,,,None,,,0,,None
27,Creek Reservoir,LOCATION,18690603-185-112889580 (1 of 1).txt,No match found.,,,None,,,0,,None
28,Sydney,LOCATION,18970225-1093-209084622 (2 of 4).txt,No match found.,151.20944444444444,-33.865,NSW,0.0026851851851835327,0.0,5,60.0,exact
29,Dungogan,LOCATION,18970225-1093-209084622 (2 of 4).txt,No match found.,,,None,,,0,,None
30,Maitland,LOCATION,18970225-1093-209084622 (2 of 4).txt,No match found.,151.5511111111111,-32.748333333333335,Ambiguous,5.609266809914711,0.050307695211857295,6,,exact
31,Temperance Hall,LOCATION,18910311-250-252178966 (2 of 3).txt,No match found.,,,None,,,0,,None
32,Peninsula,LOCATION,18691231-966-197653325 (3 of 5).txt,No match found.,116.0693,-31.96788,WA,2.6280637238162328,1.9589799999999968,4,75.0,exact
33,Town Hall,LOCATION,18650615-582-207003170 (1 of 2).txt,No match found.,144.87033388888887,-34.43839,Ambiguous,6.373289575618929,6.373289575618929,2,,exact
34,LA,LOCATION,18841210-13-6062882 (1 of 2).txt,No match found.,,,None,,,0,,None
35,Upper Murray,LOCATION,18981217-52-71321501 (2 of 6).txt,No match found.,116.2814,-32.99,WA,0.0,0.0,1,100.0,exact
36,Tasmania,LOCATION,18950906-367-101102490 (1 of 2).txt,No match found.,146.75,-42.0,TAS,0.0,0.0,2,100.0,exact
37,Wol,LOCATION,18950906-367-101102490 (1 of 2).txt,No match found.,,,None,,,0,,None
38,Victoria,LOCATION,18950828-1220-233887091 (1 of 3).txt,No match found.,148.13444444444443,-33.930277777777775,NSW,4.494904880681709,3.9293591131536396,11,63.63636363636363,exact
39,Summer Island,LOCATION,18720917-65-61879754 (4 of 5).txt,No match found.,152.96777777777777,-30.981666666666666,NSW,0.0,0.0,2,100.0,exact
40,Summer Island,LOCATION,18720917-65-61879754 (4 of 5).txt,No match found.,152.96777777777777,-30.981666666666666,NSW,0.0,0.0,2,100.0,exact
41,N.E.,LOCATION,18720917-65-61879754 (4 of 5).txt,No match found.,,,None,,,0,,None
42,Kempsey,LOCATION,18720917-65-61879754 (4 of 5).txt,No match found.,152.83444444444444,-31.081666666666667,NSW,1.8103225775421914,0.01536590742881444,5,100.0,exact
43,Sydney,LOCATION,18950126-493-126613511 (1 of 1).txt,No match found.,151.20944444444444,-33.865,NSW,0.0026851851851835327,0.0,5,60.0,exact
44,Munmurra River,LOCATION,18950126-493-126613511 (1 of 1).txt,No match found.,150.01777777777778,-32.14833333333333,NSW,0.0,0.0,1,100.0,exact
45,Mount Macedon,LOCATION,18850220-436-254552772 (1 of 1).txt,No match found.,144.5843048,-37.3976388888888,VIC,0.012631696594807963,0.016110801111203443,3,100.0,exact
46,West Gippsland,LOCATION,18930218-621-221779587 (3 of 5).txt,No match found.,,,None,,,0,,None
47,Great Southern,LOCATION,18930218-621-221779587 (3 of 5).txt,No match found.,,,None,,,0,,None
